Fire_Year,smoke_estimate
1964,17.757394594088534
1965,7.891844456853427
1966,18.259437452879027
1967,10.625853148228039
1968,16.536229320365102
1969,9.013375210217033
1970,16.051879771589157
1971,9.413301256343882
1972,12.571699140567395
1973,16.40866281037526
1974,16.8862208970581
1975,12.769156057049603
1976,12.452240305882821
1977,12.35640186373278
1978,8.81556756659923
1979,26.304459640317127
1980,25.910966561260913
1981,30.276422071664335
1982,13.562932710751516
1983,20.756292579826898
1984,27.50047232796171
1985,40.52566862747759
1986,27.69305849939606
1987,34.55998373330282
1988,32.15442267560339
1989,21.740300825745035
1990,20.054733120031912
1991,12.746775032525925
1992,26.45086101335564
1993,14.302870055069858
1994,29.787265061380513
1995,23.004564121450056
1996,47.225838598457464
1997,16.383677562881704
1998,20.809512379056127
1999,39.125303832109346
2000,30.155689705837894
2001,29.534159478571805
2002,32.53795240287583
2003,34.68530658017334
2004,28.196068092374293
2005,38.23771180078917
2006,49.13830003175531
2007,39.35665209610529
2008,38.033169382503715
2009,29.74685273256969
2010,21.257764816574845
2011,32.81896542780902
2012,33.9420406599511
2013,27.481101440422563
2014,21.667016657590434
2015,26.679640963038647
2016,29.00321157855188
2017,48.26302141694696
2018,38.374925208681454
2019,32.44328503900215
2020,38.61530303383798
