year,weighted_avg_aqi
1964,32.41
1965,25.73
1966,21.06
1967,26.93
1968,25.57
1969,42.43
1970,24.52
1971,23.36
1972,21.51
1973,24.92
1974,20.55
1975,39.58
1976,53.53
1977,63.91
1978,41.37
1979,69.0
1980,57.96
1981,59.47
1982,53.87
1983,61.55
1984,65.63
1985,60.11
1986,54.31
1987,66.25
1988,67.14
1989,27.59
1990,30.32
1991,32.66
1992,32.27
1993,29.14
1994,30.79
1995,31.46
1996,28.49
1997,25.36
1998,28.13
1999,27.1
2000,24.88
2001,44.6
2002,45.73
2003,44.37
2004,40.28
2005,39.29
2006,49.63
2007,39.81
2008,46.35
2009,38.12
2010,39.73
2011,40.4
2012,44.58
2013,43.05
2014,41.82
2015,42.51
2016,49.77
2017,51.99
2018,53.59
2019,43.91
2020,59.25
2021,52.98
2022,43.03
2023,45.11
2024,38.37
